SRI_Parish_Code,Parish_Description,INEC_Parish_Code
1070701,ECUADOR,070701
1070702,EL PARAISO,070702
1070703,HUALTACO,070703
1070704,MILTON REYES,070704
1070705,UNION LOJANA,070705
1070750,HUAQUILLAS,070750
1071201,SANTA ROSA,071201
1071202,PUERTO JELI,071202
1071250,SANTA ROSA,071250
1071251,BELLAVISTA,071251
1071252,JAMBELI,071252
1071253,LA AVANZADA,071253
1071254,SAN ANTONIO,071254
1071255,TORATA,071255
1071256,VICTORIA,071256
1071257,BELLAMARIA,071257
1070850,MARCABELI,070850
1070851,EL INGENIO,070851
1070550,CHILLA,070550
1070221,CHACRAS,070221
1070250,ARENILLAS,070250
1070254,PALMALES,070254
1070255,CARCABON,070255
1070901,BOLIVAR,070901
1070902,LOMA DE FRANCO,070902
1070903,OCHOA LEON (MATRIZ),070903
1070904,TRES CERRITOS,070904
1070950,PASAJE,070950
1070951,BUENAVISTA,070951
1070952,CASACAY,070952
1070953,LA PEAÑA,070953
1070954,PROGRESO,070954
1070955,UZHCURRUMI,070955
1070956,CAÑAQUEMADA,070956
1070350,PACCHA,070350
1070351,AYAPAMBA,070351
1070352,CORDONCILLO,070352
1070353,MILAGRO,070353
1070354,SAN JOSE,070354
1070355,SAN JUAN DE CERRO AZUL,070355
1071450,LA VICTORIA,071450
1071451,LA LIBERTAD,071451
1071452,EL PARAISO,071452
1071453,SAN ISIDRO,071453
1071150,PORTOVELO,071150
1071151,CURTINCAPA,071151
1071152,MORALES,071152
1071153,SALATI,071153
1071350,ZARUMA,071350
1071351,ABAÑIN,071351
1071352,ARCAPAMBA,071352
1071353,GUANAZAN,071353
1071354,GUIZHAGUIÑA,071354
1071355,HUERTAS,071355
1071356,MALVAS,071356
1071357,MULUNCAY GRANDE,071357
1071358,SINSAO,071358
1071359,SALVIAS,071359
1070650,EL GUABO,070650
1070651,BARBONES (SUCRE),070651
1070652,LA IBERIA,070652
1070653,TENDALES (CAB. EN PUERTO TENDALES),070653
1070654,RIO BONITO,070654
1071001,LA MATRIZ,071001
1071002,LA SUSAYA,071002
1071003,PIÑAS GRANDE,071003
1071050,PIÑAS,071050
1071051,CAPIRO (CAB. EN LA CAPILLA DE CAPIRO),071051
1071052,LA BOCANA,071052
1071053,MOROMORO (CAB. EN EL VADO),071053
1071054,PIEDRAS,071054
1071055,SAN ROQUE (AMBROSIO MALDONADO),071055
1071056,SARACAY,071056
1070101,LA PROVIDENCIA,070101
1070102,MACHALA,070102
1070103,PUERTO BOLIVAR,070103
1070104,NUEVE DE MAYO,070104
1070105,EL CAMBIO,070105
1070150,MACHALA,070150
1070152,EL RETIRO,070152
1070450,BALSAS,070450
1070451,BELLAMARIA,070451
1091150,NARANJAL,091150
1091151,JESUS MARIA,091151
1091152,SAN CARLOS,091152
1091153,SANTA ROSA DE FLANDES,091153
1091154,TAURA,091154
1091701,BALLENITA,091701
1091702,SANTA ELENA,091702
1091750,SANTA ELENA,091750
1091751,ATAHUALPA,091751
1091752,COLONCHE,091752
1091753,CHANDUY,091753
1091754,MANGLARALTO,091754
1091755,SIMON BOLIVAR (JULIO MORENO),091755
1091756,SAN JOSE DE ANCON,091756
1092850,ISIDRO AYORA,092850
1091901,BOCANA,091901
1091902,CANDILEJOS,091902
1091903,CENTRAL,091903
1091904,PARAISO,091904
1091905,SAN MATEO,091905
1091950,EL SALITRE (LAS RAMAS),091950
1091951,GENERAL VERNAZA (DOS ESTEROS),091951
1091952,LA VICTORIA (ÑAUZA),091952
1091953,JUNQUILLAL,091953
1090650,DAULE,090650
1090652,JUAN BAUTISTA AGUIRRE (LOS TINTOS),090652
1090653,LAUREL,090653
1090654,LIMONAL,090654
1090656,LOS LOJAS (ENRIQUE BAQUERIZO MORENO),090656
1091450,PEDRO CARBO,091450
1091451,VALLE DE LA VIRGEN,091451
1091452,SABANILLA,091452
1092050,SAN JACINTO DE YAGUACHI,092050
1092053,GRAL. PEDRO J. MONTERO (BOLICHE),092053
1092055,YAGUACHI VIEJO (CONE),092055
1092056,VIRGEN DE FATIMA,092056
1090350,BALAO,090350
1091650,SAMBORONDON,091650
1091651,TARIFA,091651
1091501,CARLOS ESPINOZA LARREA,091501
1091502,GRAL ALBERTO GALLO,091502
1091503,VICENTE ROCAFUERTE,091503
1091515,ANCONCITO,091515
1091550,SALINAS,091550
1091552,JOSE LUIS TAMAYO (MUEY),091552
1090450,BALZAR,090450
1092750,GENERAL ANTONIO ELIZALDE (BUCAY),092750
1092150,GENERAL VILLAMIL (PLAYAS),092150
1092450,LOMAS DE SARGENTILLO,092450
1090850,VELASCO IBARRA (EL EMPALME),090850
1090851,GUAYAS (PUEBLO NUEVO),090851
1090852,EL ROSARIO,090852
1091850,SANTA LUCIA,091850
1092650,LA LIBERTAD,092650
1091050,MILAGRO,091050
1091051,CHOBO,091051
1091053,MARISCAL SUCRE (HUAQUES),091053
1090750,ELOY ALFARO (DURAN),090750
1092350,CORONEL MARCELINO MARIDUEÑA (SAN CARLOS),092350
1092250,SIMON BOLIVAR,092250
1092251,CORONEL LORENZO DE GARAICOA (PEDREGAL),092251
1090250,ALFREDO BAQUERIZO MORENO,090250
1091250,NARANJITO,091250
1090550,COLIMES,090550
1090551,SAN JACINTO,090551
1090950,EL TRIUNFO,090950
1091350,PALESTINA,091350
1092550,NARCISA DE JESUS (NOBOL),092550
1090101,AYACUCHO,090101
1090102,BOLIVAR (SAGRARIO),090102
1090103,CARBO (CONCEPCION),090103
1090104,FEBRES CORDERO,090104
1090105,GARCIA MORENO,090105
1090106,LETAMENDI,090106
1090107,NUEVE DE OCTUBRE,090107
1090108,OLMEDO (SAN ALEJO),090108
1090109,ROCA,090109
1090110,ROCAFUERTE,090110
1090111,SUCRE,090111
1090112,TARQUI,090112
1090113,URDANETA,090113
1090114,XIMENA,090114
1090115,PASCUALES,090115
1090116,PASCUALES,090116
1090150,GUAYAQUIL,090150
1090152,JUAN GÓMEZ RENDÓN(PROGRESO),090152
1090153,MORRO,090153
1090156,POSORJA,090156
1090157,PUNA,090157
1090158,TENGUEL,090158
1130601,DOCTOR MIGUEL MORÁN LUCIO,130601
1130602,MANUEL INOCENCIO PARRALES Y GUALE,130602
1130603,SAN LORENZO DE JIPIJAPA,130603
1130650,JIPIJAPA,130650
1130651,AMERICA,130651
1130652,EL ANEGADO (CAB. EN ELOY ALFARO),130652
1130653,JULCUY,130653
1130654,LA UNION,130654
1130656,MEMBRILLAL,130656
1130657,PEDRO PABLO GOMEZ,130657
1130658,PUERTO DE CAYO,130658
1131550,TOSAGUA,131550
1131551,BACHILLERO,131551
1131552,ANGEL PEDRO GILER (LA ESTANCILLA),131552
1131950,PUERTO LOPEZ,131950
1131951,MACHALILLA,131951
1131952,SALANGO,131952
1130401,EL CARMEN,130401
1130404,4 DE DICIEMBRE,130404
1130450,EL CARMEN,130450
1130451,WILFRIDO LOOR MOREIRA (MAICITO),130451
1130452,SAN PEDRO DE SUMA,130452
1131650,SUCRE,131650
1131651,BELLAVISTA,131651
1131652,NOBOA,131652
1131653,ARQ. SIXTO DURAN BALLEN,131653
1131150,PICHINCHA,131150
1131151,BARRAGANETE,131151
1131152,SAN SEBASTIAN,131152
1131750,PEDERNALES,131750
1131751,COJIMIES,131751
1131752,10 DE AGOSTO,131752
1131753,ATAHUALPA,131753
1130301,CHONE,130301
1130302,SANTA RITA,130302
1130350,CHONE,130350
1130351,BOYACA,130351
1130352,CANUTO,130352
1130353,CONVENTO,130353
1130354,CHIBUNGA,130354
1130355,ELOY ALFARO,130355
1130356,RICAURTE,130356
1130357,SAN ANTONIO,130357
1130550,FLAVIO ALFARO,130550
1130551,SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO),130551
1130552,ZAPALLO,130552
1132050,JAMA,132050
1131050,PAJAN,131050
1131051,CAMPOZANO (LA PALMA DE PAJAN),131051
1131052,CASCOL,131052
1131053,GUALE,131053
1131054,LASCANO,131054
1131401,BAHIA DE CARAQUEZ,131401
1131402,LEONIDAS PLAZA GUTIERREZ,131402
1131450,BAHIA DE CARAQUEZ,131450
1131453,CHARAPOTO,131453
1131457,SAN ISIDRO,131457
1132150,JARAMIJO,132150
1130750,JUNIN,130750
1131301,SANTA ANA,131301
1131302,LODANA,131302
1131350,SANTA ANA DE VUELTA LARGA,131350
1131351,AYACUCHO,131351
1131352,HONORATO VASQUEZ (CAB. EN VASQUEZ),131352
1131353,LA UNION,131353
1131355,SAN PABLO (CAB. EN PUEBLO NUEVO),131355
1132250,SAN VICENTE,132250
1132251,CANOA,132251
1130101,PORTOVIEJO,130101
1130102,12 DE MARZO,130102
1130103,COLÓN,130103
1130104,PICOAZA,130104
1130105,SAN PABLO,130105
1130106,ANDRÉS DE VERA,130106
1130150,PORTOVIEJO,130150
1130151,ABDON CALDERON (SAN FRANCISCO),130151
1130152,ALHAJUELA (BAJO GRANDE),130152
1130153,CRUCITA,130153
1130154,PUEBLO NUEVO,130154
1130155,RIOCHICO (RIO CHICO),130155
1130156,SAN PLACIDO,130156
1130157,CHIRIJOS,130157
1130901,ANÍBAL SAN ANDRÉS,130901
1130902,MONTECRISTI,130902
1130950,MONTECRISTI,130950
1130952,LA PILA,130952
1131250,ROCAFUERTE,131250
1131850,OLMEDO,131850
1130801,LOS ESTEROS,130801
1130802,MANTA,130802
1130803,SAN MATEO,130803
1130804,TARQUI,130804
1130805,ELOY ALFARO,130805
1130850,MANTA,130850
1130851,SAN LORENZO,130851
1130852,SANTA MARIANITA (BOCA DE PACOCHE),130852
1130250,CALCETA,130250
1130251,MEMBRILLO,130251
1130252,QUIROGA,130252
1121150,VALENCIA,121150
1120450,PUEBLOVIEJO,120450
1120451,PUERTO PECHICHE,120451
1120452,SAN JUAN,120452
1120350,MONTALVO,120350
