provincia,canton,parroquia,CODPAR,code_parroquia_inec,sri_parroquia
AZUAY,CUENCA,BAÑOS,0285,EC010151,2010151
AZUAY,CUENCA,CUMBE,0730,EC010152,2010152
AZUAY,CUENCA,CHAUCHA / ANGAS,0845,EC010153,2010153
AZUAY,CUENCA,CHECA JIDCAY,0860,EC010154,2010154
AZUAY,CUENCA,CHIQUINTAD,0905,EC010155,2010155
AZUAY,CUENCA,LLACAO,2255,EC010156,2010156
AZUAY,CUENCA,MOLLETURO,2430,EC010157,2010157
AZUAY,CUENCA,MULTI / NULTI,2570,EC010158,2010158
AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS,2595,EC010159,2010159
AZUAY,CUENCA,PACCHA,2680,EC010160,2010160
AZUAY,CUENCA,QUINGEO,3105,EC010161,2010161
AZUAY,CUENCA,RICAURTE,3165,EC010162,2010162
AZUAY,CUENCA,SAN JOAQUIN,3460,EC010163,2010163
AZUAY,CUENCA,SANTA ANA,3685,EC010164,2010164
AZUAY,CUENCA,SAYAUSI,3795,EC010165,2010165
AZUAY,CUENCA,SIDCAY,3850,EC010166,2010166
AZUAY,CUENCA,SININCAY,3870,EC010167,2010167
AZUAY,CUENCA,TARQUI,3980,EC010168,2010168
AZUAY,CUENCA,TURI,4095,EC010169,2010169
AZUAY,CUENCA,VALLE,4200,EC010170,2010170
AZUAY,CUENCA,VICTORIA DEL PORTETE,4225,EC010171,2010171
AZUAY,GIRON,ASUNCION,0175,EC010251,2010251
AZUAY,GIRON,SAN GERARDO,0885,EC010252,2010252
AZUAY,GUALACEO,DANIEL CORDOVA TORAL,1005,EC010352,2010352
AZUAY,GUALACEO,JADAN,1805,EC010353,2010353
AZUAY,GUALACEO,MARIANO MORENO / CALLASAY,2385,EC010354,2010354
AZUAY,GUALACEO,REMIGIO CRESPO TORAL,3160,EC010356,2010356
AZUAY,GUALACEO,SAN JUAN,3505,EC010357,2010357
AZUAY,GUALACEO,ZHIDMAD,4340,EC010358,2010358
AZUAY,GUALACEO,LUIS CORDERO VEGA,1760,EC010359,2010359
AZUAY,GUALACEO,SIMON BOLIVAR,3780,EC010360,2010360
AZUAY,NABON,COCHAPATA,0575,EC010451,2010451
AZUAY,NABON,EL PROGRESO,1175,EC010452,2010452
AZUAY,NABON,NIEVES,2550,EC010453,2010453
AZUAY,PAUTE,BULAN / J. VICTOR IZQUIERDO,0395,EC010552,2010552
AZUAY,PAUTE,CHICAN /GUILLERMO ORTEGA,0870,EC010553,2010553
AZUAY,PAUTE,EL CABO,4565,EC010554,2010554
AZUAY,PAUTE,GUARAINAC,1455,EC010556,2010556
AZUAY,PAUTE,SAN CRISTOBAL,3375,EC010559,2010559
AZUAY,PAUTE,TOMEBAMBA,4050,EC010561,2010561
AZUAY,PAUTE,DUG-DUG,0890,EC010562,2010562
AZUAY,PUCARA,SAN RAFAEL DE SHARUG,1690,EC010652,2010652
AZUAY,SAN FERNANDO,CHUMBIN,4560,EC010751,2010751
AZUAY,SANTA ISABEL,ABDON CALDERON / LA UNION,0015,EC010851,2010851
AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DE PIJILI,1130,EC010852,2010852
AZUAY,SANTA ISABEL,SHAGLLI,3835,EC010853,2010853
AZUAY,SANTA ISABEL,SAN SALVADOR DE CAÑARIBAMBA,4610,EC010854,2010854
AZUAY,SIGSIG,CUTCHIL,0750,EC010951,2010951
AZUAY,SIGSIG,GIMA,1355,EC010952,2010952
AZUAY,SIGSIG,GUEL,1490,EC010953,2010953
AZUAY,SIGSIG,LUDO,2215,EC010954,2010954
AZUAY,SIGSIG,SAN BARTOLOME,3360,EC010955,2010955
AZUAY,SIGSIG,SAN JOSE DE RARANGA,3495,EC010956,2010956
AZUAY,OÑA,SUSUDEL,1540,EC011051,2011051
AZUAY,CHORDELEG,PRINCIPAL,2950,EC011151,2011151
AZUAY,CHORDELEG,LA UNION,1535,EC011152,2011152
AZUAY,CHORDELEG,LUIS GALARZA O. (DELEGSOL),1585,EC011153,2011153
AZUAY,CHORDELEG,SAN MARTIN DE PUZHIO,1575,EC011154,2011154
AZUAY,EL PAN,SAN VICENTE,1650,EC011253,2011253
AZUAY,SEVILLA DE ORO,AMALUZA,0085,EC011351,2011351
AZUAY,SEVILLA DE ORO,PALMAS,2725,EC011352,2011352
CAÑAR,AZOGUES,COJITAMBO,0585,EC030151,2030151
CAÑAR,AZOGUES,GUAPAN,1445,EC030153,2030153
CAÑAR,AZOGUES,JAVIER LOYOLA / CHUQUIPATA,1825,EC030154,2030154
CAÑAR,AZOGUES,LUIS CORDERO,2220,EC030155,2030155
CAÑAR,AZOGUES,PINDILIG,2885,EC030156,2030156
CAÑAR,AZOGUES,RIVERA,3210,EC030157,2030157
CAÑAR,AZOGUES,SAN MIGUEL,3575,EC030158,2030158
CAÑAR,AZOGUES,TADAY,3945,EC030160,2030160
CAÑAR,BIBLIAN,NAZON,2545,EC030251,2030251
CAÑAR,BIBLIAN,SAN FCO. DE SAGEO,3410,EC030252,2030252
CAÑAR,BIBLIAN,TURUPAMBA,4100,EC030253,2030253
CAÑAR,BIBLIAN,JERUSALEN,1085,EC030254,2030254
CAÑAR,CAÑAR,CHONTAMARCA,0935,EC030351,2030351
CAÑAR,CAÑAR,CHOROCOPTE,0950,EC030352,2030352
CAÑAR,CAÑAR,GRAL. MORALES / SOCARTE,1335,EC030353,2030353
CAÑAR,CAÑAR,GUALLETURO,1410,EC030354,2030354
CAÑAR,CAÑAR,HONORATO VASQUEZ,1605,EC030355,2030355
CAÑAR,CAÑAR,INGAPIRCA,1725,EC030356,2030356
CAÑAR,CAÑAR,JUNCAL,1900,EC030357,2030357
CAÑAR,CAÑAR,SAN ANTONIO,3305,EC030358,2030358
CAÑAR,CAÑAR,ZHUD,4345,EC030361,2030361
CAÑAR,CAÑAR,VENTURA,1775,EC030362,2030362
CAÑAR,CAÑAR,DUCUR,1895,EC030363,2030363
CAÑAR,LA TRONCAL,MANUEL J. CALLE,2365,EC030451,2030451
CAÑAR,LA TRONCAL,PANCHO NEGRO,2745,EC030452,2030452
CAÑAR,DELEG,SOLANO,3875,EC030651,2030651
COTOPAXI,LATACUNGA,ALAQUEZ,0035,EC050151,2050151
COTOPAXI,LATACUNGA,BELISARIO QUEVEDO,0315,EC050152,2050152
COTOPAXI,LATACUNGA,GUAYTACAMA,1485,EC050153,2050153
COTOPAXI,LATACUNGA,JOSEGUANGO BAJO,1905,EC050154,2050154
COTOPAXI,LATACUNGA,MULALO,2480,EC050156,2050156
COTOPAXI,LATACUNGA,11 DE NOVIEMBRE,2620,EC050157,2050157
COTOPAXI,LATACUNGA,POALO,2920,EC050158,2050158
COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,3530,EC050159,2050159
COTOPAXI,LATACUNGA,TANICUCHI,3965,EC050161,2050161
COTOPAXI,LATACUNGA,TOACAZO,4035,EC050162,2050162
COTOPAXI,LA MANA,GUASAGANDA,1500,EC050251,2050251
COTOPAXI,LA MANA,PUCAYACO,2965,EC050252,2050252
COTOPAXI,PANGUA,MORASPUNGO,2460,EC050351,2050351
COTOPAXI,PANGUA,PINLLOPATA,2890,EC050352,2050352
COTOPAXI,PANGUA,RAMON CAMPAÑA,3155,EC050353,2050353
COTOPAXI,PUJILI,ANGAMARCA,0125,EC050451,2050451
COTOPAXI,PUJILI,GUANGAJE,1430,EC050453,2050453
COTOPAXI,PUJILI,LA VICTORIA,2150,EC050455,2050455
COTOPAXI,PUJILI,PILALO,2865,EC050456,2050456
COTOPAXI,PUJILI,TINGO,4015,EC050457,2050457
COTOPAXI,PUJILI,ZUMBAHUA,4365,EC050458,2050458
COTOPAXI,SALCEDO,ANTONIO J. HOLGUIN,0135,EC050551,2050551
COTOPAXI,SALCEDO,CUSUBAMBA,0745,EC050552,2050552
COTOPAXI,SALCEDO,MULALILLO,2475,EC050553,2050553
COTOPAXI,SALCEDO,MULLIQUINDIL,2490,EC050554,2050554
COTOPAXI,SALCEDO,PANZALEO,2760,EC050555,2050555
COTOPAXI,SAQUISILI,CANCHAGUA,0465,EC050651,2050651
COTOPAXI,SAQUISILI,CHANTILIN,0830,EC050652,2050652
COTOPAXI,SAQUISILI,COCHAPAMBA,0990,EC050653,2050653
COTOPAXI,SIGCHOS,CHUGCHILAN,0960,EC050751,2050751
COTOPAXI,SIGCHOS,ISINLIVI,1735,EC050752,2050752
COTOPAXI,SIGCHOS,LAS PAMPAS,2115,EC050753,2050753
COTOPAXI,SIGCHOS,PALO QUEMADO,0815,EC050754,2050754
CHIMBORAZO,ALAUSI,ACHUPALLAS,0020,EC060251,2060251
CHIMBORAZO,ALAUSI,GUASUNTOS,1465,EC060253,2060253
CHIMBORAZO,ALAUSI,HUIGRA,1660,EC060254,2060254
CHIMBORAZO,ALAUSI,MULTITUD,2485,EC060255,2060255
CHIMBORAZO,ALAUSI,PISTISHI,2905,EC060256,2060256
CHIMBORAZO,ALAUSI,PUMALLACTA,3025,EC060257,2060257
CHIMBORAZO,ALAUSI,SEVILLA,3820,EC060258,2060258
CHIMBORAZO,ALAUSI,SIBAMBE,3845,EC060259,2060259
CHIMBORAZO,ALAUSI,TIXAN,4030,EC060260,2060260
CHIMBORAZO,COLTA,CANI,0500,EC060351,2060351
CHIMBORAZO,COLTA,COLUMBE,0610,EC060352,2060352
CHIMBORAZO,COLTA,JUAN DE VELASCO / PONGOR,1865,EC060353,2060353
CHIMBORAZO,COLTA,SANTIAGO DE QUITO,4430,EC060354,2060354
CHIMBORAZO,CHUNCHI,CAPZOL,0515,EC060551,2060551
CHIMBORAZO,CHUNCHI,COMPUD,0615,EC060552,2060552
CHIMBORAZO,CHUNCHI,GONZOL,1370,EC060553,2060553
CHIMBORAZO,CHUNCHI,LLAGOS,2260,EC060554,2060554
CHIMBORAZO,GUAMOTE,CEBADAS,0555,EC060651,2060651
CHIMBORAZO,GUAMOTE,PALMIRA,2730,EC060652,2060652
CHIMBORAZO,GUANO,GUANANDO,1415,EC060751,2060751
CHIMBORAZO,GUANO,ILAPO,1705,EC060752,2060752
CHIMBORAZO,GUANO,LA PROVIDENCIA,2080,EC060753,2060753
CHIMBORAZO,GUANO,SAN ANDRES,3295,EC060754,2060754
CHIMBORAZO,GUANO,SAN GERARDO / PAQUICAHUAN,3425,EC060755,2060755
CHIMBORAZO,GUANO,SAN ISIDRO DE PATULU,3450,EC060756,2060756
CHIMBORAZO,GUANO,SAN JOSE DEL CHAZO,0045,EC060757,2060757
CHIMBORAZO,GUANO,SANTA FE DE GALAN,0040,EC060758,2060758
CHIMBORAZO,GUANO,VALPARAISO,0410,EC060759,2060759
CHIMBORAZO,PENIPE,EL ALTAR,1110,EC060951,2060951
CHIMBORAZO,PENIPE,MATUS,2400,EC060952,2060952
CHIMBORAZO,PENIPE,PUELA,2975,EC060953,2060953
CHIMBORAZO,PENIPE,SAN ANTONIO DE BAYUSHIG,3335,EC060954,2060954
CHIMBORAZO,PENIPE,LA CANDELARIA,0925,EC060955,2060955
CHIMBORAZO,PENIPE,BILBAO,1325,EC060956,2060956
EL ORO,MACHALA,EL RETIRO,0255,EC070152,1070152
EL ORO,ARENILLAS,CHACRAS,0805,EC070251,1070251
EL ORO,ARENILLAS,PALMALES,2715,EC070254,1070254
EL ORO,ARENILLAS,CARCABON,1695,EC070255,1070255
EL ORO,ARENILLAS,LA CUCA,4650,EC070256,1070256
EL ORO,ATAHUALPA,AYAPAMBA,0225,EC070351,1070351
EL ORO,ATAHUALPA,CORDONCILLO,4480,EC070352,1070352
EL ORO,ATAHUALPA,MILAGRO,4535,EC070353,1070353
EL ORO,ATAHUALPA,SAN JOSE,4530,EC070354,1070354
EL ORO,ATAHUALPA,SAN JUAN DE CERRO AZUL,0375,EC070355,1070355
EL ORO,BALSAS,BELLAMARIA,1975,EC070451,1070451
EL ORO,EL GUABO,BARBONES,0300,EC070651,1070651
EL ORO,EL GUABO,LA IBERIA,0245,EC070652,1070652
EL ORO,EL GUABO,TENDALES,4000,EC070653,1070653
