PROVINCIA_CODIGO,NOMBRE_PROVINCIA,CANTON_CODIGO,CANTON_NOMBRE,PARROQUIA_CODIGO_OLD,PARROQUIA_CODIGO,PARROQUIA_NOMBRE
EC01,AZUAY,EC0115,CAMILO PONCE ENRIQUEZ,6875.0,EC011550,CAMILO PONCE ENRIQUEZ
EC01,AZUAY,EC0111,CHORDELEG,6435.0,EC011150,CHORDELEG
EC01,AZUAY,EC0111,CHORDELEG,1535.0,EC011152,LA UNION
EC01,AZUAY,EC0111,CHORDELEG,1585.0,EC011153,LUIS GALARZA ORELLANA
EC01,AZUAY,EC0111,CHORDELEG,2950.0,EC011151,PRINCIPAL
EC01,AZUAY,EC0111,CHORDELEG,1575.0,EC011154,SAN MARTIN DE PUZHIO
EC01,AZUAY,EC0101,CUENCA,285.0,EC010151,BANOS
EC01,AZUAY,EC0101,CUENCA,5075.0,EC010101,BELLAVISTA
EC01,AZUAY,EC0101,CUENCA,5080.0,EC010102,CANARIBAMBA
EC01,AZUAY,EC0101,CUENCA,845.0,EC010153,CHAUCHA
EC01,AZUAY,EC0101,CUENCA,860.0,EC010154,CHECA
EC01,AZUAY,EC0101,CUENCA,905.0,EC010155,CHIQUINTAD
EC01,AZUAY,EC0101,CUENCA,730.0,EC010152,CUMBE
EC01,AZUAY,EC0101,CUENCA,5135.0,EC010103,EL BATAN
EC01,AZUAY,EC0101,CUENCA,5905.0,EC010104,EL SAGRARIO
EC01,AZUAY,EC0101,CUENCA,5330.0,EC010105,EL VECINO
EC01,AZUAY,EC0101,CUENCA,5875.0,EC010106,GIL RAMIREZ DAVALOS
EC01,AZUAY,EC0101,CUENCA,6865.0,EC010115,HERMANO MIGUEL
EC01,AZUAY,EC0101,CUENCA,5450.0,EC010107,HUAYNACAPAC
EC01,AZUAY,EC0101,CUENCA,2255.0,EC010156,LLACAO
EC01,AZUAY,EC0101,CUENCA,5140.0,EC010108,MACHANGARA
EC01,AZUAY,EC0101,CUENCA,2430.0,EC010157,MOLLETURO
EC01,AZUAY,EC0101,CUENCA,5290.0,EC010109,MONAY
EC01,AZUAY,EC0101,CUENCA,2570.0,EC010158,NULTI
EC01,AZUAY,EC0101,CUENCA,2595.0,EC010159,OCTAVIO CORDERO PALACIOS
EC01,AZUAY,EC0101,CUENCA,2680.0,EC010160,PACCHA
EC01,AZUAY,EC0101,CUENCA,3105.0,EC010161,QUINGEO
EC01,AZUAY,EC0101,CUENCA,3165.0,EC010162,RICAURTE
EC01,AZUAY,EC0101,CUENCA,5930.0,EC010110,SAN BLAS
EC01,AZUAY,EC0101,CUENCA,3460.0,EC010163,SAN JOAQUIN
EC01,AZUAY,EC0101,CUENCA,6010.0,EC010111,SAN SEBASTIAN
EC01,AZUAY,EC0101,CUENCA,3685.0,EC010164,SANTA ANA
EC01,AZUAY,EC0101,CUENCA,3795.0,EC010165,SAYAUSI
EC01,AZUAY,EC0101,CUENCA,3850.0,EC010166,SIDCAY
EC01,AZUAY,EC0101,CUENCA,3870.0,EC010167,SININCAY
EC01,AZUAY,EC0101,CUENCA,6090.0,EC010112,SUCRE
EC01,AZUAY,EC0101,CUENCA,3980.0,EC010168,TARQUI
EC01,AZUAY,EC0101,CUENCA,5360.0,EC010113,TOTORACOCHA 
EC01,AZUAY,EC0101,CUENCA,4095.0,EC010169,TURI
EC01,AZUAY,EC0101,CUENCA,4200.0,EC010170,VALLE
EC01,AZUAY,EC0101,CUENCA,4225.0,EC010171,VICTORIA DEL PORTETE
EC01,AZUAY,EC0101,CUENCA,5370.0,EC010114,YANUNCAY
EC01,AZUAY,EC0112,EL PAN,6485.0,EC011250,EL PAN
EC01,AZUAY,EC0112,EL PAN,1650.0,EC011253,SAN VICENTE
EC01,AZUAY,EC0102,GIRON,5395.0,EC010250,GIRON
EC01,AZUAY,EC0102,GIRON,175.0,EC010251,LA ASUNCION
EC01,AZUAY,EC0102,GIRON,885.0,EC010252,SAN GERARDO
EC01,AZUAY,EC0114,GUACHAPALA,6615.0,EC011450,GUACHAPALA
EC01,AZUAY,EC0103,GUALACEO,1005.0,EC010352,DANIEL CORDOVA TORAL
EC01,AZUAY,EC0103,GUALACEO,5420.0,EC010350,GUALACEO
EC01,AZUAY,EC0103,GUALACEO,1805.0,EC010353,JADAN
EC01,AZUAY,EC0103,GUALACEO,1760.0,EC010359,LUIS CORDERO VEGA
EC01,AZUAY,EC0103,GUALACEO,2385.0,EC010354,MARIANO MORENO
EC01,AZUAY,EC0103,GUALACEO,3160.0,EC010356,REMIGIO CRESPO TORAL
EC01,AZUAY,EC0103,GUALACEO,3505.0,EC010357,SAN JUAN
EC01,AZUAY,EC0103,GUALACEO,3780.0,EC010360,SIMON BOLIVAR
EC01,AZUAY,EC0103,GUALACEO,4340.0,EC010358,ZHIDMAD
EC01,AZUAY,EC0104,NABON,575.0,EC010451,COCHAPATA
EC01,AZUAY,EC0104,NABON,1175.0,EC010452,EL PROGRESO
EC01,AZUAY,EC0104,NABON,2550.0,EC010453,LAS NIEVES
EC01,AZUAY,EC0104,NABON,6595.0,EC010450,NABON
EC01,AZUAY,EC0110,ONA,6360.0,EC011050,SAN FELIPE DE ONA
EC01,AZUAY,EC0110,ONA,1540.0,EC011051,SUSUDEL
EC01,AZUAY,EC0105,PAUTE,395.0,EC010552,BULAN
EC01,AZUAY,EC0105,PAUTE,870.0,EC010553,CHICAN
EC01,AZUAY,EC0105,PAUTE,890.0,EC010562,DUG DUG
EC01,AZUAY,EC0105,PAUTE,4565.0,EC010554,EL CABO
EC01,AZUAY,EC0105,PAUTE,1455.0,EC010556,GUARAINAG
EC01,AZUAY,EC0105,PAUTE,5775.0,EC010550,PAUTE
EC01,AZUAY,EC0105,PAUTE,3375.0,EC010559,SAN CRISTOBAL
EC01,AZUAY,EC0105,PAUTE,4050.0,EC010561,TOMEBAMBA
